,text,author,replying_to
0,@Pandabbadon goddamnit! No!,BeckettFan,Pandabbadon
1,@Pandabbadon there's a lot of tweets in my timeline and I'm very confused..,BeckettFan,Pandabbadon
2,@Pandabbadon Dephine? Have we found out what happened to her yet? I still haven't watched any of this season..,BeckettFan,Pandabbadon
3,@Pandabbadon did they kill her?,BeckettFan,Pandabbadon
4,@Pandabbadon it's Pet Smart! I used to work there as did everyone I know #Answered,OhFrankABee,Pandabbadon
5,"@Pandabbadon I mean, no one there paid any mind so... Also it turned out her name was Lizzie Borden. I needed to be on her good side.",necromantiic,Pandabbadon
6,"@Pandabbadon Bern Notice. Bern, Baby, Bern, Disco Inferno. You're Berning up. Your passion Berns with the heat of a thousand suns. Trogdor",DarthSienna,Pandabbadon
7,@Pandabbadon Soon you will have extensive real estate holdings and a small mule sanctuary.,DarthSienna,Pandabbadon
8,@Pandabbadon Nothing compares to the Great Indoors! #enjoy,Eat24,Pandabbadon
9,@Pandabbadon it’s November. She’s gonna be loud!,tamarasiuda,Pandabbadon
10,"@Pandabbadon that's incredible. Yeah, I've checked out her style, it's very 👌👌",necromantiic,Pandabbadon
11,@Pandabbadon I know!  It was just nice to see it/here it again:),ggstar71,Pandabbadon
12,@Pandabbadon your what?  Xoxo :D,ggstar71,Pandabbadon
13,"@Pandabbadon &amp; much, much more",ggstar71,Pandabbadon
14,"@Pandabbadon sorry, I couldn't send text it to you. http://t.co/RjGIssAcbY",ggstar71,Pandabbadon
15,@pandabbadon haha awesome.,TBMassacre,Pandabbadon
16,"@Pandabbadon Haha, dork. &lt;3",DarthSienna,Pandabbadon
17,"@Pandabbadon That's 'cause real life SJWs aren't all conventionally beautiful, straight, cis, white people.",necromantiic,Pandabbadon
18,@Pandabbadon truer friendship has never been witnessed. #1000years,OhFrankABee,Pandabbadon
19,@Pandabbadon you should check out my home girl @Olivia_Fawn http://t.co/OnFqyxF2wf,ArcherRaveKink,Pandabbadon
20,@Pandabbadon Your attractiveness is Beyond Belief. *clink*,DarthSienna,Pandabbadon
